x,parameter,value
1078.948948948949,bottleneck_strength_domestic,3.3333333333333335e-05
1108.918918918919,bottleneck_strength_domestic,3.3333333333333335e-05
1138.888888888889,bottleneck_strength_domestic,3.3333333333333335e-05
1168.8588588588589,bottleneck_strength_domestic,3.3333333333333335e-05
1198.8288288288288,bottleneck_strength_domestic,3.3333333333333335e-05
1228.7987987987988,bottleneck_strength_domestic,3.3333333333333335e-05
1258.7687687687687,bottleneck_strength_domestic,3.3333333333333335e-05
1288.7387387387387,bottleneck_strength_domestic,3.3333333333333335e-05
1318.7087087087086,bottleneck_strength_domestic,3.3333333333333335e-05
1348.6786786786786,bottleneck_strength_domestic,3.3333333333333335e-05
1378.6486486486488,bottleneck_strength_domestic,3.3333333333333335e-05
1408.6186186186187,bottleneck_strength_domestic,3.3333333333333335e-05
1438.5885885885887,bottleneck_strength_domestic,3.3333333333333335e-05
1468.5585585585586,bottleneck_strength_domestic,3.3333333333333335e-05
1498.5285285285286,bottleneck_strength_domestic,3.3333333333333335e-05
1528.4984984984985,bottleneck_strength_domestic,3.3333333333333335e-05
1558.4684684684685,bottleneck_strength_domestic,3.3333333333333335e-05
1588.4384384384384,bottleneck_strength_domestic,3.3333333333333335e-05
1618.4084084084084,bottleneck_strength_domestic,3.3333333333333335e-05
1648.3783783783783,bottleneck_strength_domestic,3.3333333333333335e-05
1678.3483483483483,bottleneck_strength_domestic,3.3333333333333335e-05
1708.3183183183182,bottleneck_strength_domestic,3.3333333333333335e-05
1738.2882882882882,bottleneck_strength_domestic,3.3333333333333335e-05
1768.2582582582584,bottleneck_strength_domestic,3.3333333333333335e-05
1798.2282282282283,bottleneck_strength_domestic,3.3333333333333335e-05
1828.1981981981983,bottleneck_strength_domestic,3.3333333333333335e-05
1858.1681681681682,bottleneck_strength_domestic,3.3333333333333335e-05
1888.1381381381382,bottleneck_strength_domestic,3.3333333333333335e-05
1918.1081081081081,bottleneck_strength_domestic,3.3333333333333335e-05
1948.078078078078,bottleneck_strength_domestic,3.3333333333333335e-05
1978.048048048048,bottleneck_strength_domestic,3.3333333333333335e-05
2008.018018018018,bottleneck_strength_domestic,3.3333333333333335e-05
2037.987987987988,bottleneck_strength_domestic,3.3333333333333335e-05
2067.9579579579577,bottleneck_strength_domestic,3.3333333333333335e-05
2097.927927927928,bottleneck_strength_domestic,3.3333333333333335e-05
2127.897897897898,bottleneck_strength_domestic,3.3333333333333335e-05
2157.867867867868,bottleneck_strength_domestic,3.3333333333333335e-05
2187.837837837838,bottleneck_strength_domestic,3.3333333333333335e-05
2217.807807807808,bottleneck_strength_domestic,3.3333333333333335e-05
2247.777777777778,bottleneck_strength_domestic,3.3333333333333335e-05
2277.747747747748,bottleneck_strength_domestic,3.3333333333333335e-05
2307.7177177177177,bottleneck_strength_domestic,3.3333333333333335e-05
2337.6876876876877,bottleneck_strength_domestic,3.3333333333333335e-05
2367.6576576576576,bottleneck_strength_domestic,3.3333333333333335e-05
2397.6276276276276,bottleneck_strength_domestic,3.3333333333333335e-05
2427.5975975975975,bottleneck_strength_domestic,3.3333333333333335e-05
2457.5675675675675,bottleneck_strength_domestic,3.3333333333333335e-05
2487.5375375375374,bottleneck_strength_domestic,3.3333333333333335e-05
2517.5075075075074,bottleneck_strength_domestic,3.3333333333333335e-05
